"long","lat","order","hole","piece","group","id","country"
-86.49085432,38.04579704,8,FALSE,"1","p108.1","p108","USA"
-86.05663172,37.47592464,9,FALSE,"1","p108.1","p108","USA"
-83.67541332,36.60081505,1,FALSE,"1","p109.1","p109","USA"
-84.22737632,36.59218005,2,FALSE,"1","p109.1","p109","USA"
-84.29723632,36.94588305,3,FALSE,"1","p109.1","p109","USA"
-84.55648732,37.35579105,4,FALSE,"1","p109.1","p109","USA"
-85.23186532,36.92515104,5,FALSE,"1","p109.1","p109","USA"
-85.74432332,37.17001904,6,FALSE,"1","p109.1","p109","USA"
-85.73925932,36.84146604,7,FALSE,"1","p109.1","p109","USA"
-85.97666782,36.67567654,8,FALSE,"1","p109.1","p109","USA"
-86.46893332,37.32102204,9,FALSE,"1","p109.1","p109","USA"
-86.05663172,37.47592464,10,FALSE,"1","p109.1","p109","USA"
-86.49085432,38.04579704,11,FALSE,"1","p109.1","p109","USA"
-86.36052933,38.19866504,12,FALSE,"1","p109.1","p109","USA"
-85.93948433,38.01095204,13,FALSE,"1","p109.1","p109","USA"
-85.33309333,38.73629004,14,FALSE,"1","p109.1","p109","USA"
-84.81464233,38.78448904,15,FALSE,"1","p109.1","p109","USA"
-84.82015834,39.10548104,16,FALSE,"1","p109.1","p109","USA"
-84.50594434,39.09486104,17,FALSE,"1","p109.1","p109","USA"
-83.70528233,38.64022005,18,FALSE,"1","p109.1","p109","USA"
-82.89039334,38.75627705,19,FALSE,"1","p109.1","p109","USA"
-82.60811234,38.46105255,20,FALSE,"1","p109.1","p109","USA"
-83.34132033,38.31950705,21,FALSE,"1","p109.1","p109","USA"
-82.55704283,37.90585305,22,FALSE,"1","p109.1","p109","USA"
-82.92538333,37.48660705,23,FALSE,"1","p109.1","p109","USA"
-83.52235433,37.63837605,24,FALSE,"1","p109.1","p109","USA"
-83.52927311,36.94983587,25,FALSE,"1","p109.1","p109","USA"
-82.86918432,36.97418306,26,FALSE,"1","p109.1","p109","USA"
-83.67541332,36.60081505,27,FALSE,"1","p109.1","p109","USA"
-116.10605115,32.61687524,1,FALSE,"1","p11.1","p11","USA"
-116.91582757,32.55199333,2,FALSE,"1","p11.1","p11","USA"
-117.08389615,32.56002975,3,FALSE,"1","p11.1","p11","USA"
-117.2196204,32.74839594,4,FALSE,"1","p11.1","p11","USA"
-117.32837116,33.12183888,5,FALSE,"1","p11.1","p11","USA"
-117.55278766,33.44581888,6,FALSE,"1","p11.1","p11","USA"
